"factor","AME","SE","z","p","lower","upper"
"COUP.COMP",-0.114601500171778,0.0335986050090176,-3.41090054605005,0.000647487041573812,-0.180453555920239,-0.0487494444233164
"COUP.US",0.0530418121818901,0.0256315089349144,2.06939873561787,0.0385086850713599,0.00280497780004119,0.103278646563739
"COUPDISPL.US",0.114304751543272,0.0316234831407909,3.61455286359113,0.000300866424251558,0.052323863521612,0.176285639564932
"price.ratio",-0.440175008181728,0.0237830613426034,-18.507920483442,1.78250253375708e-76,-0.486788951855337,-0.393561064508118
